"African collared-dove, Streptopelia roseogrisea (Puerto Rico) (I) LC"
"Spotted dove, Spilopelia chinensis (I) LC"
"Shy ground-dove, Alopecoenas stairi (American Samoa) VU"
"White-throated ground-dove, Alopecoenas xanthonurus (Guam, Northern Mariana Islands) NT"
"Diamond dove, Geopelia cuneata (Puerto Rico) (I) LC"
"Zebra dove, Geopelia striata (I) LC"
"Passenger pigeon, Ectopistes migratorius (E) EX"
"Inca dove, Columbina inca LC"
"Common ground dove, Columbina passerina LC"
"Ruddy ground dove, Columbina talpacoti LC"
"Ruddy quail-dove, Geotrygon montana (A) LC"
"Key West quail-dove, Geotrygon chrysia (C) LC"
"Bridled quail-dove, Geotrygon mystacea (Puerto Rico, U.S. Virgin Islands) (A) VU"
"White-tipped dove, Leptotila verreauxi LC"
"White-winged dove, Zenaida asiatica LC"
"Zenaida dove, Zenaida aurita (A) LC"
"Mourning dove, Zenaida macroura LC"
"Many-colored fruit-dove, Ptilinopus perousii (American Samoa) LC"
"Crimson-crowned fruit-dove, Ptilinopus porphyraceus (American Samoa) LC"
"Mariana fruit-dove, Ptilinopus roseicapilla (Northern Mariana Islands; extirpated from Guam) (ENM) EN"
"Pacific imperial-pigeon, Ducula pacifica (American Samoa) LC"
"Greater ani, Crotophaga major (U.S. Virgin Islands) (A) LC"
"Smooth-billed ani, Crotophaga ani LC"
"Groove-billed ani, Crotophaga sulcirostris LC"
"Greater roadrunner, Geococcyx californianus LC"
"Common cuckoo, Cuculus canorus LC"
"Oriental cuckoo, Cuculus optatus (C) LC"
"Chestnut-winged cuckoo, Clamator coromandus (Guam) (A) LC"
"Dark-billed cuckoo, Coccyzus melacoryphus (A) LC"
"Yellow-billed cuckoo, Coccyzus americanus LC"
"Mangrove cuckoo, Coccyzus minor LC"
"Black-billed cuckoo, Coccyzus erythropthalmus LC"
"Puerto Rican lizard-cuckoo, Coccyzus vielloti (Puerto Rico) (EP) LC"
"Long-tailed koel, Urodynamis tailtensis (American Samoa, U.S. Minor Outlying Islands"
"Lesser nighthawk, Chordeiles acutipennis LC"
"Common nighthawk, Chordeiles minor LC"
"Antillean nighthawk, Chordeiles gundlachii LC"
"Common pauraque, Nyctidromus albicollis LC"
"Common poorwill, Phalaenoptilus nuttallii LC"
"Chuck-will's-widow, Antrostomus carolinensis NT"
"Buff-collared nightjar, Antrostomus ridgwayi LC"
"Eastern whip-poor-will, Antrostomus vociferus NT"
"Mexican whip-poor-will, Antrostomus arizonae LC"
"Puerto Rican nightjar, Antrostomus noctitherus (Puerto Rico) (EP) EN"
"White-tailed nightjar, Hydropsalis cayennensis (Puerto Rico) (A) LC"
"Gray nightjar, Caprimulgus jotaka (A) LC"
"Northern potoo, Nyctibius jamaicensis (Puerto Rico) (A) LC"
"Black swift, Cypseloides niger VU"
"White-collared swift, Streptoprocne zonaris (C) LC"
"Chimney swift, Chaetura pelagica VU"
"Vaux's swift, Chaetura vauxi LC"
"Short-tailed swift, Chaetura brachyura (U.S. Virgin Islands) LC"
White-throated needletail Hirundapus caudacutus (A) LC
"White-rumped swiftlet, Aerodramus spodiopygius (American Samoa) LC"
"Uniform swiftlet, Aerodramus vanikorensis (Guam) LC"
"Mariana swiftlet, Aerodramus bartschi (I) [note 4] EN"
"Caroline Islands swiftlet, Aerodramus inquietus (Guam, Northern Mariana Islands) LC"
"Common swift, Apus apus (A) LC"
"Fork-tailed swift, Apus pacificus (A) LC"
"Alpine swift, Apus melba (Puerto Rico) (A) LC"
"White-throated swift, Aeronautes saxatalis LC"
"Antillean palm-swift, Tachornis phoenicobia (A) LC"
"Mexican violetear, Colibri thalassinus LC"
"Green-breasted mango, Anthracothorax prevostii (C) LC"
"Puerto Rican mango, Anthracothorax aurulentus (Puerto Rico, U.S. Virgin Islands) LC"
"Green mango, Anthracothorax viridis (Puerto Rico) (EP) LC"
"Purple-throated carib, Eulampis jugularis (Puerto Rico, U.S. Virgin Islands) (A) LC"
"Green-throated carib, Eulampis holosericeus (Puerto Rico, U.S. Virgin Islands) LC"
"Rivoli's hummingbird, Eugenes fulgens (Not yet assessed by the IUCN)"
"Plain-capped starthroat, Heliomaster constantii (C) LC"
"Amethyst-throated mountain-gem, Lampornis amethystinus (A) LC"
"Blue-throated mountain-gem, Lampornis clemenciae LC"
"Bahama woodstar, Calliphlox evelynae (A) LC"
"Lucifer hummingbird, Calothorax lucifer LC"
"Ruby-throated hummingbird, Archilochus colubris LC"
"Black-chinned hummingbird, Archilochus alexandri LC"
"Vervain hummingbird, Mellisuga minima (Puerto Rico) (A) LC"
"Anna's hummingbird, Calypte anna LC"
"Costa's hummingbird, Calypte costae LC"
"Calliope hummingbird, Selasphorus calliope LC"
"Rufous hummingbird, Selasphorus rufus NT"
"Allen's hummingbird, Selasphorus sasin LC"
"Broad-tailed hummingbird, Selasphorus platycercus LC"
"Bumblebee hummingbird, Selasphorus heloisa (A) LC"
"Puerto Rican emerald, Riccordia maugeaus (Puerto Rico) (EP) LC"
"Broad-billed hummingbird, Cynanthus latirostris LC"
"White-eared Hummingbird, Basilinna leucotis LC"
"Xantus's hummingbird, Basilinna xantusii (A) LC"
"Antillean crested hummingbird, Orthorhyncus cristatus (Puerto Rico, U.S. Virgin Islands) LC"
"Violet-crowned hummingbird, Ramosomyia violiceps LC"
"Berylline hummingbird, Amazilia beryllina LC"
"Cinnamon hummingbird, Amazilia rutila (A) LC"
"Buff-bellied hummingbird, Amazilia yucatanensis LC"
"Paint-billed crake, Neocrex erythrops (A) LC"
"Spotted rail, Pardirallus maculatus (A) LC"
"Rufous-necked wood-rail, Aramides axillaris (A) LC"
"Ridgway's rail, Rallus obsoletus NT"
"Clapper rail, Rallus crepitans LC"
"King rail, Rallus elegans NT"
"Virginia rail, Rallus limicola LC"
"Corn crake, Crex crex (C) LC"
"Sora, Porzana carolina LC"
"Common gallinule, Gallinula galeata LC"
"Eurasian moorhen, Gallinula chloropus (Guam, Northern Mariana Islands) LC"
"Eurasian coot, Fulica atra (A) LC"
"Hawaiian coot, Fulica alai (EH) VU"
"American coot, Fulica americana LC"
"Purple gallinule, Porphyrio martinicus LC"
"Purple swamphen, Porphyrio porphyrio (I) LC"
"Black-backed swamphen, Porphyrio indicus (American Samoa) (Not yet assessed by the IUCN)"
"Australasian swamphen, Porphyrio melanotus (American Samoa) (Not yet assessed by the IUCN)"
"White-browed crake, Poliolimnas cinereus (formerly Guam) (Ex) LC"
"Yellow rail, Coturnicops noveboracensis LC"
"Yellow-breasted crake, Hapalocrex flaviventer (Puerto Rico) LC"
"Black rail, Laterallus jamaicensis EN"
"Buff-banded rail, Gallirallus philippensis (American Samoa) LC"
"Guam rail, Gallirallus owstoni (Guam, Northern Mariana Islands) (EG / ENM) CR"
"Wake Island rail, Gallirallus wakensis (U.S. Minor Outlying Islands — Wake Island) (EU) (E) EX"
"Laysan rail, Zapornia palmeri (EH) (E) EX"
"Hawaiian rail, Zapornia sandwichensis (EH) (E) EX"
"Spotless crake, Zapornia tabuensis (American Samoa) LC"
"Sungrebe, Heliornis fulica (A) LC"
"Limpkin, Aramus guarauna LC"
"Sandhill crane, Antigone canadensis LC"
"Common crane, Grus grus (C) LC"
"Whooping crane, Grus americana EN"
"Hooded crane, Grus monacha (A) VU"
"Double-striped thick-knee, Burhinus bistriatus (A) LC"
"Black-winged stilt, Himantopus himantopus [note 5] LC"
"Black-necked stilt, Himantopus mexicanus LC"
"American avocet, Recurvirostra americana LC"
"Eurasian oystercatcher, Haematopus ostralegus (A) NT"
"American oystercatcher, Haematopus palliatus LC"
"Black oystercatcher, Haematopus bachmani LC"
"Northern lapwing, Vanellus vanellus (C) NT"
"Masked lapwing, Vanellus miles (American Samoa) (A) LC"
"Black-bellied plover, Pluvialis squatarola LC"
"European golden-plover, Pluvialis apricaria (C) LC"
"American golden-plover, Pluvialis dominica LC"
"Pacific golden-plover, Pluvialis fulva LC"
"Eurasian dotterel, Charadrius morinellus (C) LC"
"Killdeer, Charadrius vociferus LC"
"Common ringed plover, Charadrius hiaticula LC"
"Semipalmated plover, Charadrius semipalmatus LC"
"Piping plover, Charadrius melodus NT"
"Little ringed plover, Charadrius dubius (A) LC"
"Lesser sand-plover, Charadrius mongolus LC"
"Greater sand-plover, Charadrius leschenaultii (A) LC"
"Wilson's plover, Charadrius wilsonia LC"
"Collared plover, Charadrius collaris (A) LC"
"Kentish plover, Charadrius alexandrinus (Guam, Northern Mariana Islands) LC"
"Snowy plover, Charadrius nivosus NT"
"Mountain plover, Charadrius montanus NT"
"Pheasant-tailed jacana, Hydrophasianus chirurgus (Northern Mariana Islands) (A) LC"
"Northern jacana, Jacana spinosa (C) LC"
"Upland sandpiper, Bartramia longicauda LC"
"Bristle-thighed curlew, Numenius tahitiensis NT"
"Whimbrel, Numenius phaeopus LC"
"Little curlew, Numenius minutus (A) LC"
"Eskimo curlew, Numenius borealis (Possibly extinct) CR"
"Long-billed curlew, Numenius americanus LC"
"Far Eastern curlew, Numenius madagascariensis (C) EN"
"Slender-billed curlew, Numenius tenuirostris (A) CR"
"Eurasian curlew, Numenius arquata (C) NT"
"Bar-tailed godwit, Limosa lapponica NT"
"Black-tailed godwit, Limosa limosa NT"
"Hudsonian godwit, Limosa haemastica LC"
"Marbled godwit, Limosa fedoa LC"
"Ruddy turnstone, Arenaria interpres LC"
"Black turnstone, Arenaria melanocephala LC"
"Great knot, Calidris tenuirostris (C) EN"
"Red knot, Calidris canutus LC"
"Surfbird, Calidris virgata LC"
"Ruff, Calidris pugnax LC"
"Broad-billed sandpiper, Limicola falcinellus (C) LC"
"Sharp-tailed sandpiper, Calidris acuminata LC"
"Stilt sandpiper, Calidris himantopus LC"
"Curlew sandpiper, Calidris ferruginea NT"
"Temminck's stint, Calidris temminckii (A) LC"
"Long-toed stint, Calidris subminuta LC"
"Spoon-billed sandpiper, Calidris pygmaea (C) CR"
"Red-necked stint, Calidris ruficollis NT"
"Sanderling, Calidris alba LC"
"Dunlin, Calidris alpina LC"
"Rock sandpiper, Calidris ptilocnemis LC"
"Purple sandpiper, Calidris maritima LC"
"Baird's sandpiper, Calidris bairdii LC"
"Little stint, Calidris minuta (C) LC"
"Least sandpiper, Calidris minutilla LC"
"White-rumped sandpiper, Calidris fuscicollis LC"
"Buff-breasted sandpiper, Calidris subruficollis NT"
"Pectoral sandpiper, Calidris melanotos LC"
"Semipalmated sandpiper, Calidris pusilla NT"
"Western sandpiper, Calidris mauri LC"
"Short-billed dowitcher, Limnodromus griseus LC"
"Long-billed dowitcher, Limnodromus scolopaceus LC"
"Jack snipe, Lymnocryptes minimus (C) LC"
"Eurasian woodcock, Scolopax rusticola (A) LC"
"American woodcock, Scolopax minor LC"
"Latham’s snipe, Gallinago hardwickii (Guam) (A) LC"
"Solitary snipe, Gallinago solitaria (A) LC"
"Pin-tailed snipe, Gallinago stenura (A) LC"
"Common snipe, Gallinago gallinago LC"
"Wilson's snipe, Gallinago delicata LC"
"Swinhoe's snipe, Gallinago megala (Guam, Northern Mariana Islands) LC"
"Terek sandpiper, Xenus cinereus LC"
"Common sandpiper, Actitis hypoleucos LC"
"Spotted sandpiper, Actitis macularius LC"
"Green sandpiper, Tringa ochropus (C) LC"
"Solitary sandpiper, Tringa solitaria LC"
"Gray-tailed tattler, Tringa brevipes NT"
"Wandering tattler, Tringa incana LC"
"Lesser yellowlegs, Tringa flavipes LC"
"Willet, Tringa semipalmata LC"
"Spotted redshank, Tringa erythropus (C) LC"
"Common greenshank, Tringa nebularia LC"
"Greater yellowlegs, Tringa melanoleuca LC"
"Common redshank, Tringa totanus (A) LC"
"Wood sandpiper, Tringa glareola LC"
"Marsh sandpiper, Tringa stagnatilis (A) LC"
"Wilson's phalarope, Phalaropus tricolor LC"
"Red-necked phalarope, Phalaropus lobatus LC"
"Red phalarope, Phalaropus fulicarius LC"
"Oriental pratincole, Glareola maldivarum (A) LC"
"Great skua, Stercorarius skua LC"
"South polar skua, Stercorarius maccormicki LC"
"Pomarine jaeger, Stercorarius pomarinus LC"
"Parasitic jaeger, Stercorarius parasiticus LC"
"Long-tailed jaeger, Stercorarius longicaudus LC"
"Dovekie, Alle alle LC"
"Common murre, Uria aalge LC"
"Thick-billed murre, Uria lomvia LC"
"Razorbill, Alca torda NT"
"Great auk, Pinguinus impennis (E) EX"
"Black guillemot, Cepphus grylle LC"
"Pigeon guillemot, Cepphus columba LC"
"Long-billed murrelet, Brachyramphus perdix (A) NT"
"Marbled murrelet, Brachyramphus marmoratus EN"
"Kittlitz's murrelet, Brachyramphus brevirostris (A) NT"
"Scripps's murrelet, Synthliboramphus scrippsi VU"
"Guadalupe murrelet, Synthliboramphus hypoleucus EN"
"Craveri's murrelet, Synthliboramphus craveri VU"
"Ancient murrelet, Synthliboramphus antiquus LC"
"Japanese murrelet, Synthliboramphus wumizusume (U.S. Minor Outlying Islands) (A) VU"
"Cassin's auklet, Ptychoramphus aleuticus NT"
"Parakeet auklet, Aethia psittacula LC"
"Least auklet, Aethia pusilla LC"
"Whiskered auklet, Aethia pygmaea LC"
"Crested auklet, Aethia cristatella LC"
"Rhinoceros auklet, Cerorhinca monocerata LC"
"Atlantic puffin, Fratercula arctica VU"
"Horned puffin, Fratercula corniculata LC"
"Tufted puffin, Fratercula cirrhata LC"
"Swallow-tailed gull, Creagrus furcatus (A) LC"
"Black-legged kittiwake, Rissa tridactyla VU"
"Red-legged kittiwake, Rissa brevirostris VU"
"Ivory gull, Pagophila eburnea NT"
"Sabine's gull, Xema sabini LC"
"Bonaparte's gull, Chroicocephalus philadelphia LC"
"Silver gull, Chroicocephalus novaehollandiae (U.S. Minor Outlying Islands) (A) LC"
"Gray-hooded gull, Chroicocephalus cirrocephalus (A) LC"
"Black-headed gull, Chroicocephalus ridibundus LC"
"Little gull, Hydrocoloeus minutus LC"
"Ross's gull, Rhodostethia rosea LC"
"Laughing gull, Leucophaeus atricilla LC"
"Franklin's gull, Leucophaeus pipixcan LC"
"Pallas's gull, Ichthyaetus ichthyaetus LC"
"Belcher's gull, Larus belcheri (A) LC"
"Black-tailed gull, Larus crassirostris (C) LC"
"Heermann's gull, Larus heermanni NT"
"Common gull, Larus canus LC"
"Short-billed gull, Larus brachyrhynchus"
"Ring-billed gull, Larus delawarensis LC"
"Western gull, Larus occidentalis LC"
"Yellow-footed gull, Larus livens LC"
"California gull, Larus californicus LC"
"Herring gull, Larus argentatus LC"
"Yellow-legged gull, Larus cachinnans (C) LC"
"Iceland gull, Larus glaucoides LC"
"Lesser black-backed gull, Larus fuscus LC"
"Slaty-backed gull, Larus schistisagus LC"
"Glaucous-winged gull, Larus glaucescens LC"
"Glaucous gull, Larus hyperboreus LC"
"Great black-backed gull, Larus marinus LC"
"Kelp gull, Larus dominicanus (C) LC"
"Brown noddy, Anous stolidus LC"
"Black noddy, Anous minutus LC"
"Blue-gray noddy, Anous ceruleus LC"
"White tern, Gygis alba LC"
"Sooty tern, Onychoprion fuscatus LC"
"Gray-backed tern, Onychoprion lunatus (American Samoa, Northern Mariana Islands, U.S. Minor Outlying Islands) LC"
"Bridled tern, Onychoprion anaethetus LC"
"Aleutian tern, Onychoprion aleuticus VU"
"Little tern, Sternula albifrons (C) LC"
"Least tern, Sternula antillarum LC"
"Large-billed tern, Phaetusa simplex (A) LC"
"Gull-billed tern, Gelochelidon nilotica LC"
"Caspian tern, Hydroprogne caspia LC"
"Black tern, Chlidonias niger LC"
"White-winged tern, Chlidonias leucopterus (C) LC"
"Whiskered tern, Chlidonias hybrida (A) LC"
"Roseate tern, Sterna dougallii LC"
"Black-naped tern, Sterna sumatrana (American Samoa, Guam, Northern Mariana Islands) (A) LC"
"Common tern, Sterna hirundo LC"
"Arctic tern, Sterna paradisaea LC"
"Forster's tern, Sterna forsteri LC"
"Royal tern, Thalasseus maximus LC"
"Great crested tern, Thalasseus bergii (A) LC"
"Sandwich tern, Sterna sandvicensis (A) LC"
"Elegant tern, Thalasseus elegans (A) NT"
"Black skimmer, Rynchops niger (A) LC"
"White-tailed tropicbird, Phaethon lepturus LC"
"Red-billed tropicbird, Phaethon aethereus LC"
"Red-tailed tropicbird, Phaethon rubricauda LC"
"Red-throated loon, Gavia stellata LC"
"Arctic loon, Gavia arctica LC"
"Pacific loon, Gavia pacifica LC"
"Common loon, Gavia immer LC"
"Yellow-billed loon, Gavia adamsii NT"
"Yellow-nosed albatross, Thalassar chlororhynchus (C) LC"
"White-capped albatross, Thalassarche cauta (C) NT"
"Chatham albatross, Thalassarche eremita (A) VU"
"Salvin's albatross, Thalassarche salvini (A) VU"
"Black-browed albatross, Thalassarche melanophris (A) LC"
"Light-mantled albatross, Phoebetria palpebrata (A) NT"
"Wandering albatross, Diomedea exulans (A) VU"
"Laysan albatross, Phoebastria immutabilis NT"
"Black-footed albatross, Phoebastria nigripes NT"
"Short-tailed albatross, Phoebastria albatrus VU"
"Wilson's storm-petrel, Oceanites oceanicus LC"
"White-faced storm-petrel, Pelagodroma marina LC"
"Black-bellied storm-petrel, Fregetta tropica(A) LC"
"Polynesian storm-petrel, Nesofregetta fuliginosa (American Samoa) [note 6] EN"
"European storm-petrel, Hydrobates pelagicus (C) LC"
"Fork-tailed storm-petrel, Hydrobates furcatus LC"
"Ringed storm-petrel, Hydrobates hornbyi (A) NT"
"Swinhoe's storm-petrel, Hydrobates monorhis (A) NT"
"Leach's storm-petrel, Hydrobates leucorhous VU"
"Townsend's storm-petrel, Hydrobates socorroensis EN"
"Ashy storm-petrel, Hydrobates homochroa EN"
"Band-rumped storm-petrel, Hydrobates castro LC"
"Wedge-rumped storm-petrel, Hydrobates tethys (C) LC"
"Black storm-petrel, Hydrobates melania LC"
"Tristram's storm-petrel, Hydrobates tristrami LC"
"Least storm-petrel, Hydrobates microsoma VU"
"Matsudaira's storm-petrel, Oceanodroma matsudairae (Guam, Northern Mariana Islands) VU"
"Northern giant petrel, Macronectes halli (A) LC"
"Northern fulmar, Fulmarus glacialis LC"
"Gray-faced petrel, Pterodroma gouldi (A) LC"
"Providence petrel, Pterodroma solandri (C) VU"
"Kermadec petrel, Pterodroma neglecta (C) LC"
"Trindade petrel, Pterodroma arminjoniana VU"
"Herald petrel, Pterodroma heraldica (C) LC"
"Murphy's petrel, Pterodroma ultima LC"
"Mottled petrel, Pterodroma inexpectata NT"
"Bermuda petrel, Pterodroma cahow EN"
"Black-capped petrel, Pterodroma hasitata EN"
"Juan Fernandez petrel, Pterodroma externa VU"
"Hawaiian petrel, Pterodroma sandwichensis VU"
"White-necked petrel, Pterodroma cervicalis VU"
"Bonin petrel, Pterodroma hypoleuca LC"
"Black-winged petrel, Pterodroma nigripennis LC"
"Fea's petrel, Pterodroma feae NT"
"Zino's petrel, Pterodroma madeira (A) VU"
"Cook's petrel, Pterodroma cookii VU"
"Gould's petrel, Pterodroma leucoptera (American Samoa) VU"
"Collared petrel, Pterodroma brevipes (American Samoa) VU"
"Stejneger's petrel, Pterodroma longirostris (C) VU"
"Phoenix petrel, Pterodroma alba (American Samoa, U.S. Minor Outlying Islands) EN"
"Tahiti petrel, Pseudobulweria rostrata (A) NT"
"Bulwer's petrel, Bulweria bulwerii LC"
"Jouanin's petrel, Bulweria fallax (A) NT"
"White-chinned petrel, Procellaria aequinoctialis (A) VU"
"Parkinson's petrel, Procellaria parkinsoni (A) VU"
"Streaked shearwater, Calonectris leucomelas (C) NT"
"Cory's shearwater, Calonectris diomedea LC"
"Cape Verde shearwater, Calonectris edwardsii (A) NT"
"Wedge-tailed shearwater, Ardenna pacifica LC"
"Buller's shearwater, Ardenna bulleri VU"
"Short-tailed shearwater, Ardenna tenuirostris LC"
"Sooty shearwater, Ardenna grisea NT"
"Great shearwater, Ardenna gravis LC"
"Pink-footed shearwater, Ardenna creatopus VU"
"Flesh-footed shearwater, Ardenna carneipes LC"
"Christmas shearwater, Puffinus nativitatis NT"
"Manx shearwater, Puffinus puffinus LC"
"Townsend's shearwater, Puffinus auricularis CR"
"Newell's shearwater, Puffinus newelli CR"
"Bryan's shearwater, Puffinus bryani (A) CR"
"Black-vented shearwater, Puffinus opisthomelas NT"
"Little shearwater, Puffinus assimilis (U.S. Minor Outlying Islands) LC"
"Audubon's shearwater, Puffinus lherminieri LC"
"Tropical shearwater, Puffinus bailloni (American Samoa, Guam, Northern Mariana Islands, U.S. Minor Outlying Islands) LC"
"Barolo shearwater, Puffinus baroli (A) (Not yet assessed by the IUCN)"
"Jabiru, Jabiru mycteria (C) LC"
"Wood stork, Mycteria americana LC"
"Lesser frigatebird, Fregata ariel (C) LC"
"Magnificent frigatebird, Fregata magnificens LC"
"Great frigatebird, Fregata minor LC"
"Masked booby, Sula dactylatra LC"
"Nazca booby, Sula granti (C) LC"
"Blue-footed booby, Sula nebouxii (C) LC"
"Brown booby, Sula leucogaster LC"
"Red-footed booby, Sula sula LC"
"Abbott's booby, Papasula abbotti (Northern Mariana Islands) (A) EN"
"Northern gannet, Morus bassanus LC"
"Anhinga, Anhinga anhinga LC"
"Little pied cormorant, Microcarbo melanoleucos (Northern Mariana Islands) (A) LC"
"Brandt's cormorant, Urile penicillatus LC"
"Red-faced cormorant, Urile urile LC"
"Pelagic cormorant, Urile pelagicus LC"
"Great cormorant, Phalacrocorax carbo LC"
"Double-crested cormorant, Nannopterum auritum LC"
"Neotropic cormorant, Nannopterum brasilianum LC"
"American white pelican, Pelecanus erythrorhynchos LC"
"Brown pelican, Pelecanus occidentalis LC"
"American bittern, Botaurus lentiginosus LC"
"Yellow bittern, Ixobrychus sinensis (A) LC"
